Song,Artist,Lyrics Url,Lyrics
Best Friend,Puff Daddy Featuring Mario Winans & Hezekiah Walker & The Love Fe,,
Gotta Be...Movin' On Up,PRINCE BE & Ky-Mani,,
Take Me With U,Prince And The Revolution Duet With Apollonia,,
Devil With A Blue Dress,Pratt & McClain,,
Ghetto Supastar (That Is What You Are),Pras Michel Feat. Ol' Dirty Bastard & Introducing Mya,,
Dear Mr. Jesus,Powersource (Solo...Sharon),,
For Love,Pousette-Dart Band,,
Cheer,Potliquor,,
Dame Tu Cosita,Pitbull x El Chombo x Karol G Featuring Cutty Ranks,,
We Are One (Ole Ola) [The 2014 FIFA World Cup Official Song],Pitbull Featuring Jennifer Lopez & Claudia Leitte,,
M√°h-N√°-Mah-N√°,Piero Umiliani,,
You Can't Sit Down Part 2,Philip Upchurch Combo,,
Feels Like Heaven,Peter Cetera (Duet With Chaka Khan),,
(There's No Place Like) Home For The Holidays (1954),Perry Como With Mitchell Ayers And His Orchestra,,
(There's No Place Like) Home For The Holidays (1959),Perry Como With Mitchell Ayers And His Orchestra,,
Patricia - Twist,Perez Prado And His Orchestra,,
Guaglione,Perez Prado And His Orchestra,,
Patricia,Perez Prado And His Orchestra,,
Paris,Perez Prado And His Orchestra,,
Soulshake,Peggy Scott & Jo Jo Benson,,
Pickin' Wild Mountain Berries,Peggy Scott & Jo Jo Benson,,
Lover's Holiday,Peggy Scott & Jo Jo Benson,,
Dance Like There's No Tomorrow,Paula Abdul & Randy Jackson,,
Loves Me Like A Rock,Paul Simon (with The Dixie Hummingbirds),,
We Gotta All Get Together,Paul Revere & The Raiders Featuring Mark Lindsay,,
Don't Take It So Hard,Paul Revere & The Raiders Featuring Mark Lindsay,,
I Had A Dream,Paul Revere & The Raiders Featuring Mark Lindsay,,
Junior's Farm/Sally G,Paul McCartney And Wings,,
Shortnin' Bread,Paul Chaplain and his Emeralds,,
The Teen Commandments,Paul Anka-Geo. Hamilton IV-Johnny Nash,,
I Don't Like To Sleep Alone,Paul Anka with Odia Coates,,
"Two Thousand, Two Hundred, Twenty-Three Miles",Patti Page,,
Take Me For A Little While,Patti LaBelle And The Blue Belles,,
"Baby, Come To Me",Patti Austin A Duet With James Ingram,,
Desafinado (Slightly Out Of Tune),Pat Thomas,,
Meditation (Meditacao),Pat Boone,,
Le Bel Age (The Best Years),Pat Benatar,,
Jupiter-C,Pat and the Satellites,,
West Coast Woman,Painter,https://genius.com/Nantes-lijahs-eulogy-lyrics,"[Verse]
Don't move my body, it's full of resentment
The choices we make bring us to a stalemate in life when you were needed
The sordid confines of the flesh in which a misguided child finds comfort
Your comfort was needed you passed on the weekends
A few years since your departure and they speak thusly of your flesh & blood
So I ask where were you, Dad?
Sperm donor's the only name in which you are known
My house, for years, has been a broken home
Bitch, if I had the power I woulda killed you twice
Look at my life, I wanted better and I know better
Momma told me I was clever but what did you do?
Dad, where were you when Momma had to scrap with Erin?
When my sister was on the streets bleedin' out of her fuckin' pussy Don't you push me, you pussy and where's your father?
Just know I hate you, eat a fuckin' frozen dick and shit a damn glacier Misplacin' my sense of direction
Talkin to these hoes gave me a direct erection
Treatin' your momma wrong, son,I guess I got it from my dad; quite sad, isn't it?
I died over bullshit just lemme tell you I promised I would do it
Marky, don't let me fail you
Minni, don't let me deceive you
Nae Nae, I think I need you
Alex, I live and fuckin' breathe you
But go on, kid, be bigger and better than me
Kuz Lijah was no better than snorting caine, the bitch nigga with the silver tongue
The son of Dalone who never fights but he damn sure can run
And who am I? And who am I?
And who are you beneath these streetlights?
Preachin' a hermit's wisdom
Burgundy and Cerulean flags battle but you scream don't kill him They claim you soft
The woman paint you a whore, untrustworthy
The niggas paint you meek, a bitch nigga sizin' you up with the the Devil's intentions
Can I be your insight? Your haywire intuition?
Paraphrasing what demons in the dark said to me,"" Fuck me, I am Sunshine. Your baddest bitch, greatest fear, and biggest mistake.""
Dazed, I replied, ""I love you more than them but I can't. Imma father, a son, a brother.""
She gripped the nine tighter, replying,"" I love like no other. I am not Nae Nae. I am not Erika. I am not Minni, Joi, Mary or Monique. I am Sunshine.""
Seein' her true intentions as my sperm donor stood to her right and my sins to her left
I could do nothin' but take a knee
And the devil said ""Nantes, your evils are mine to keep
Please lend an ear to me
I see the twists in your hair, knots in your nappy afro
I follow you through avenues and backroads LA to Tennessee
God lies in this Hennessy
Take it to the head and take heed, you will enter me""
The streetlights guide me, broken with a bullet in my bones, and I sip the elixir foolishly
And as I lay dying to my only son I recite his father's eulogy"
"I'd Die Without You (From ""Boomerang"")",P.M. Dawn,,
I Need A Girl (Part Two),"P. Diddy & Ginuwine Featuring Loon, Mario Winans & Tammy Ruggeri",,
Love Uprising,Otis Leaville,,
Hey Girl - Hey Boy,Oscar McLollie and Jeanette Baker,,
Everyotherday,Or-N-More (Featuring Father M.C.),,
I Honestly Love You (David Foster Vers.),Olivia Newton-John,,
Let It Shine/He Ain't Heavy...He's My Brother,Olivia Newton-John,,
Turn It Up,Oaktown's 3.5.7,,
Primrose Lane,O.C. Smith,,
Get That Gasoline Blues,NRBQ,,
I Knew The Bride (When She Use To Rock And Roll),Nick Lowe And His Cowboy Outfit,,
Heighdy-Ho Princess,Neon Philharmonic,,
Soolaim√≥n (African Trilogy II),Neil Diamond,,
Notice Me,NB Ridaz Featuring Angelina,,
Village Of Love,Nathaniel Mayer And The Fabulous Twilights,,
My Love,Nat King Cole-Stan Kenton,,
(Do The) Mashed Potatoes (Part 1),Nat Kendrick And The Swans,,
Summer Wine,Nancy Sinatra with Lee Hazlewood,https://genius.com/Nancy-sinatra-and-lee-hazlewood-summer-wine-lyrics,"[Chorus: Nancy Sinatra]
Strawberries, cherries and an angel's kiss in spring
My summer wine is really made from all these things
[Verse 1: Lee Hazlewood]
I walked in town on silver spurs that jingled to
A song that I had only sang to just a few
She saw my silver spurs and said let's pass some time
And I will give to you summer wine
Oh-oh, summer wine
[Chorus: Nancy Sinatra]
Strawberries, cherries and an angel's kiss in spring
My summer wine is really made from all these things
Take off your silver spurs and help me pass the time
And I will give to you summer wine
Oh, summer wine
[Verse 2: Lee Hazlewood]
My eyes grew heavy and my lips, they could not speak
I tried to get up, but I couldn't find my feet
She reassured me with an unfamiliar line
And then she gave to me more summer wine
Oh-oh, summer wine
[Chorus: Nancy Sinatra]
Strawberries cherries and an angel's kiss in spring
My summer wine is really made from all these things
Take off your silver spurs and help me pass the time
And I will give to you summer wine
Mm, summer wine"
Jackson,Nancy Sinatra & Lee Hazlewood,https://genius.com/Nancy-sinatra-and-lee-hazlewood-jackson-lyrics,"[Verse 1: Nancy Sinatra & Lee Hazlewood, 
Lee
]
We got married in a fever
Hotter than a pepper sprout
We've been talkin' 'bout Jackson
Ever since the fire went out
[Chorus: Lee Hazlewood & 
Nancy Sinatra
]
I'm goin' to Jackson
I'm gonna mess around (
Yeah?
)
Yeah, I'm goin' to Jackson
Look out Jackson town
[Verse 2: Nancy Sinatra & 
Lee Hazlewood
]
Well, go on down to Jackson
Go ahead and wreck your health (
Hmm
)
Go play your hand, you big-talkin' man
Make a big fool of yourself
[Chorus: Nancy Sinatra & 
Lee Hazlewood
]
Yeah, yeah, go to Jackson
But go comb that hair
I'm gonna snowball Jackson
Go ahead and see if I care
[Verse 3: Lee Hazlewood & 
Nancy Sinatra
]
When I breeze into that city
The people gonna stoop and bow (
Ha ha ha
)
All them women gonna make me
Teach 'em what they don't know how"
Lady Bird,Nancy Sinatra & Lee Hazlewood,https://genius.com/Nancy-sinatra-and-lee-hazlewood-lady-bird-lyrics,"[Verse 1: Nancy Sinatra]
I've been where the eagle flies
Rode his wings 'cross autumn skies
Kissed the sun, touched the moon
But he left me much too soon
His lady bird, he left his lady bird
[Verse 2: Lee Hazlewood]
Lady bird, come on down
I'm here waiting on the ground
Lady bird, I'll treat you good
Ah, lady bird, I wish you would
You lady bird, pretty lady bird
[Verse 3: Nancy Sinatra]
Lightning flashed across the sky
The night he taught me how to fly
The sun came up and then I found
Too soon he let his lady down
His lady bird, I'm his lady bird
[Verse 4: Lee Hazlewood]
Lady bird, come on down
I'm here waiting on the ground
Lady bird, I'll treat you good
Ah, lady bird, I wish you would
You lady bird, pretty lady bird"
Superstar,Murray Head With The Trinidad Singers,,
B*tch From da Souf,Mulatto,,
Definition,Mos Def & Kweli Are Black Star,,
Saltwater Taffy,Morty Jay And The Surferin' Cats,,
"I Miss You (Come Back Home) (From ""New York Undercover"")",Monifah,,
Yeh-Yeh!,Mongo Santamaria Orch.,,
Watermelon Man,Mongo Santamaria Band,,
Feeling Alright,Mongo Santamaria,,
El Pussy Cat,Mongo Santamaria,,
"Can't Be Wasting My Time (From ""Don't Be A Menace..."")",Mona Lisa Featuring Lost Boyz,,
(You've Got) Personality And Chantilly Lace,Mitch Ryder,,
Bluebell,Mitch Miller and his Orchestra and Chorus,,
The Children's Marching Song (Nick Nack Paddy Whack),"Mitch Miller and his ""Sing Along With Mitch"" Chorus",,
P***ycat,"Missy ""Misdemeanor"" Elliott",,
Almost Paradise...Love Theme From Footloose,Mike Reno And Ann Wilson,,
Lipstick,Michel Polnareff,,
Do It With Feeling,Michael Zager's Moon Band/Peabo Bryson,,
That Kind Of Woman,Merrilee Rush & The Turnabouts,,
4:00 AM,Melanie Fiona,,
Long Time Lovin' You,McGuffey Lane,,
Da' Dip,MC Luscious Featuring Kinsui,,
"Streiht Up Menace (From ""Menace II Society"")",MC Eiht,,
Sexual Healing,Max-A-Million,,
Give Me A Reason To Be Gone,Maureen McGovern,,
Enough Cryin,Mary J. Blige Featuring Brook-Lyn,,
"(You Make Me Feel Like) A Natural Woman (From ""New York Undercover"")",Mary J. Blige,,
The Entertainer,"Marvin Hamlisch/""The Sting""",,
The Onion Song/California Soul,Marvin Gaye & Tammi Terrell,,
Valentine,Martina McBride With Jim Brickman,,
